[TRACE] 2015-08-07 16:39:28,262 Thread:1 --- 348;转入报关员编号不能变更;2015-08-07 16:39:28;2015-08-07 16:39:28;0;false;false
[TRACE] 2015-08-07 16:39:28,432 Thread:1 --- 349;预计运输耗时不能变更;2015-08-07 16:39:28;2015-08-07 16:39:28;0;false;false
[TRACE] 2015-08-07 16:39:28,551 Thread:1 --- 350;送货距离不能变更;2015-08-07 16:39:28;2015-08-07 16:39:28;0;false;false
[TRACE] 2015-08-07 16:39:28,674 Thread:1 --- 351;变更有效期提示;2015-08-07 16:39:28;2015-08-07 16:39:28;0;false;false
[TRACE] 2015-08-07 16:39:28,799 Thread:1 --- 352;有效期是否超出备案日期1年;2015-08-07 16:39:28;2015-08-07 16:39:28;2;false;false
[TRACE] 2015-08-07 16:39:29,167 Thread:1 --- 337;转入帐册编号不能变更;2015-08-07 16:39:29;2015-08-07 16:39:29;0;false;false
[TRACE] 2015-08-07 16:39:29,282 Thread:1 --- 338;转入企业内部编号不能变更;2015-08-07 16:39:29;2015-08-07 16:39:29;0;false;false
[TRACE] 2015-08-07 16:39:29,401 Thread:1 --- 339;转入地海关不能变更;2015-08-07 16:39:29;2015-08-07 16:39:29;0;false;false
[TRACE] 2015-08-07 16:39:29,565 Thread:1 --- 340;转入企业代码不能变更;2015-08-07 16:39:29;2015-08-07 16:39:29;0;false;false
[TRACE] 2015-08-07 16:39:29,698 Thread:1 --- 341;转入企业名称不能变更;2015-08-07 16:39:29;2015-08-07 16:39:29;0;false;false
[TRACE] 2015-08-07 16:39:29,819 Thread:1 --- 342;转入申报企业代码不能变更;2015-08-07 16:39:29;2015-08-07 16:39:29;0;false;false
[TRACE] 2015-08-07 16:39:29,938 Thread:1 --- 343;转入申报企业名称不能变更;2015-08-07 16:39:29;2015-08-07 16:39:29;0;false;false
[TRACE] 2015-08-07 16:39:30,060 Thread:1 --- 344;转入企业法人不能变更;2015-08-07 16:39:30;2015-08-07 16:39:30;0;false;false
[TRACE] 2015-08-07 16:39:30,191 Thread:1 --- 345;转入申报人不能变更;2015-08-07 16:39:30;2015-08-07 16:39:30;0;false;false
[TRACE] 2015-08-07 16:39:30,307 Thread:1 --- 346;转入地区代码不能变更;2015-08-07 16:39:30;2015-08-07 16:39:30;1;false;false
[TRACE] 2015-08-07 16:39:30,428 Thread:1 --- 347;转入地企业备注不能变更;2015-08-07 16:39:30;2015-08-07 16:39:30;0;false;false
[TRACE] 2015-08-07 16:39:30,541 Thread:1 --- 348;转入报关员编号不能变更;2015-08-07 16:39:30;2015-08-07 16:39:30;0;false;false
[TRACE] 2015-08-07 16:39:30,705 Thread:1 --- 349;预计运输耗时不能变更;2015-08-07 16:39:30;2015-08-07 16:39:30;0;false;false
[TRACE] 2015-08-07 16:39:30,818 Thread:1 --- 350;送货距离不能变更;2015-08-07 16:39:30;2015-08-07 16:39:30;0;false;false
[TRACE] 2015-08-07 16:39:30,939 Thread:1 --- 351;变更有效期提示;2015-08-07 16:39:30;2015-08-07 16:39:30;0;false;false
[TRACE] 2015-08-07 16:39:31,057 Thread:1 --- 352;有效期是否超出备案日期1年;2015-08-07 16:39:31;2015-08-07 16:39:31;0;false;false
[TRACE] 2015-08-07 16:39:31,827 Thread:1 --- 1018;转入商品项号没有对应的转出商品项号;2015-08-07 16:39:31;2015-08-07 16:39:31;1;true;false
[TRACE] 2015-08-07 16:39:32,469 Thread:1 --- 303;流转申请表编号未填写;2015-08-07 16:39:32;2015-08-07 16:39:32;0;false;false
[TRACE] 2015-08-07 16:39:32,651 Thread:1 --- 304;转入标志未填写;2015-08-07 16:39:32;2015-08-07 16:39:32;1;false;false
[TRACE] 2015-08-07 16:39:32,759 Thread:1 --- 305;流转申请表序号未填写;2015-08-07 16:39:32;2015-08-07 16:39:32;0;false;false
[TRACE] 2015-08-07 16:39:32,866 Thread:1 --- 306;申报统一编号未填写;2015-08-07 16:39:32;2015-08-07 16:39:32;0;false;false
[TRACE] 2015-08-07 16:39:32,985 Thread:1 --- 307;商品编码未填写;2015-08-07 16:39:32;2015-08-07 16:39:32;0;false;false
[TRACE] 2015-08-07 16:39:33,102 Thread:1 --- 308;商品名称未填写;2015-08-07 16:39:33;2015-08-07 16:39:33;0;false;false
[TRACE] 2015-08-07 16:39:33,223 Thread:1 --- 309;商品规格未填写;2015-08-07 16:39:33;2015-08-07 16:39:33;0;false;false
[TRACE] 2015-08-07 16:39:33,333 Thread:1 --- 310;申报单位未填写;2015-08-07 16:39:33;2015-08-07 16:39:33;0;false;false
[TRACE] 2015-08-07 16:39:33,510 Thread:1 --- 311;申报数量未填写;2015-08-07 16:39:33;2015-08-07 16:39:33;0;false;false
[TRACE] 2015-08-07 16:39:33,614 Thread:1 --- 312;法定单位未填写;2015-08-07 16:39:33;2015-08-07 16:39:33;0;false;false
[TRACE] 2015-08-07 16:39:33,724 Thread:1 --- 313;法定数量未填写;2015-08-07 16:39:33;2015-08-07 16:39:33;0;false;false
[TRACE] 2015-08-07 16:39:33,838 Thread:1 --- 314;修改标志未填写;2015-08-07 16:39:33;2015-08-07 16:39:33;0;false;false
[TRACE] 2015-08-07 16:39:34,640 Thread:1 --- 319;修改标志合法性检查;2015-08-07 16:39:34;2015-08-07 16:39:34;0;false;false
[TRACE] 2015-08-07 16:39:34,761 Thread:1 --- 320;申报数量合法性检查;2015-08-07 16:39:34;2015-08-07 16:39:34;0;false;false
[TRACE] 2015-08-07 16:39:35,298 Thread:1 --- 323;申报表申报商品序号与海关正式库序号重复检查;2015-08-07 16:39:35;2015-08-07 16:39:35;2;false;false
[TRACE] 2015-08-07 16:39:35,927 Thread:1 --- 325;帐册中是否存在对应的商品序号;2015-08-07 16:39:35;2015-08-07 16:39:35;52;false;false
[TRACE] 2015-08-07 16:39:36,155 Thread:1 --- 326;商品编码是否与帐册一致;2015-08-07 16:39:36;2015-08-07 16:39:36;33;false;false
[TRACE] 2015-08-07 16:39:36,333 Thread:1 --- 327;商品名称是否与帐册一致;2015-08-07 16:39:36;2015-08-07 16:39:36;28;false;false
[TRACE] 2015-08-07 16:39:36,504 Thread:1 --- 328;规格型号是否与帐册一致;2015-08-07 16:39:36;2015-08-07 16:39:36;26;true;false
[TRACE] 2015-08-07 16:39:36,751 Thread:1 --- 329;申报单位是否与帐册一致;2015-08-07 16:39:36;2015-08-07 16:39:36;24;false;false
